design,design_label,workload_operations,pipeline_stages,is_power_of_two,stages_with_work,pass_through_stages,min_operations_per_stage,max_operations_per_stage,pipeline_region,latency_cycles,throughput_items_per_cycle,target_mhz,target_period_ns,platform,synthesis_frontend,synthesis_hierarchical,abc_area,orfs_image,cell_count,area_um2,sequential_area_um2,combinational_area_um2,sequential_area_percent,setup_wns_ns,setup_tns_ns,setup_worst_startpoint,setup_worst_endpoint,setup_worst_path,target_met,minimum_period_ns,fmax_mhz,hold_slack_ns,sequential_power_internal_w,sequential_power_switching_w,sequential_power_leakage_w,sequential_power_total_w,combinational_power_internal_w,combinational_power_switching_w,combinational_power_leakage_w,combinational_power_total_w,clock_power_internal_w,clock_power_switching_w,clock_power_leakage_w,clock_power_total_w,power_internal_w,power_switching_w,power_leakage_w,power_total_w,vectorless_energy_per_item_pj_at_target,power_estimation,clock_tree_power_included,synthesis_problems,status,area_period_pareto,area_power_pareto,minimum_area_meeting_target,minimum_period_point,minimum_vectorless_power_point
rs_chien,RS Chien/Horner pipeline,64,21,no,21,0,3,4,multi_operation,21,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,20666,2472.24312,317.81484,2154.42828,12.86,0.25946,0.0,pipeline_accumulator[2][49]$_DFFE_PP_,pipeline_accumulator[2][53]$_DFFE_PP_,pipeline_accumulator[2][49]$_DFFE_PP_ -> pipeline_accumulator[2][53]$_DFFE_PP_,yes,0.74054,1350.37,-0.09852,0.00604,0.000257,1.62e-07,0.0063,0.434,0.218,1.73e-06,0.652,0.0,0.0,0.0,0.0,0.44,0.218,1.89e-06,0.658,658.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
rs_chien,RS Chien/Horner pipeline,64,22,no,22,0,2,3,multi_operation,22,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21617,2621.3382,324.02592,2297.31228,12.36,0.3761,0.0,pipeline_accumulator[2][58]$_DFFE_PP_,pipeline_accumulator[2][65]$_DFFE_PP_,pipeline_accumulator[2][58]$_DFFE_PP_ -> pipeline_accumulator[2][65]$_DFFE_PP_,yes,0.6239,1602.83,-0.09852,0.0058,0.000257,1.65e-07,0.00606,0.39,0.213,1.83e-06,0.603,0.0,0.0,0.0,0.0,0.396,0.213,1.99e-06,0.609,609.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,23,no,23,0,2,3,multi_operation,23,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21709,2641.167,330.237,2310.93,12.5,0.38336,0.0,pipeline_accumulator[1][38]$_DFFE_PP_,pipeline_accumulator[1][44]$_DFFE_PP_,pipeline_accumulator[1][38]$_DFFE_PP_ -> pipeline_accumulator[1][44]$_DFFE_PP_,yes,0.61664,1621.69,-0.09852,0.00574,0.000287,1.68e-07,0.00603,0.356,0.199,1.82e-06,0.555,0.0,0.0,0.0,0.0,0.361,0.2,1.99e-06,0.561,561.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,24,no,24,0,2,3,multi_operation,24,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21547,2618.59716,336.44808,2282.14908,12.85,0.38576,0.0,pipeline_accumulator[0][147]$_DFFE_PP_,pipeline_accumulator[0][152]$_DFFE_PP_,pipeline_accumulator[0][147]$_DFFE_PP_ -> pipeline_accumulator[0][152]$_DFFE_PP_,yes,0.61424,1628.03,-0.09972,0.00586,0.00029,1.71e-07,0.00615,0.334,0.18,1.81e-06,0.515,0.0,0.0,0.0,0.0,0.34,0.181,1.99e-06,0.521,521.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,25,no,25,0,2,3,multi_operation,25,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21421,2602.66122,342.65916,2260.00206,13.17,0.3942,0.0,pipeline_x[0][70]$_DFFE_PP_,pipeline_accumulator[0][85]$_DFFE_PP_,pipeline_x[0][70]$_DFFE_PP_ -> pipeline_accumulator[0][85]$_DFFE_PP_,yes,0.6058,1650.71,-0.09852,0.0057,0.000293,1.74e-07,0.00599,0.328,0.178,1.81e-06,0.506,0.0,0.0,0.0,0.0,0.333,0.178,1.98e-06,0.512,512.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,26,no,26,0,2,3,multi_operation,26,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21786,2645.08902,348.87024,2296.21878,13.19,0.38384,0.0,pipeline_accumulator[0][127]$_DFFE_PP_,pipeline_accumulator[0][134]$_DFFE_PP_,pipeline_accumulator[0][127]$_DFFE_PP_ -> pipeline_accumulator[0][134]$_DFFE_PP_,yes,0.6161599999999999,1622.96,-0.09852,0.00578,0.000296,1.77e-07,0.00607,0.294,0.154,1.81e-06,0.447,0.0,0.0,0.0,0.0,0.299,0.154,1.99e-06,0.453,453.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,27,no,27,0,2,3,multi_operation,27,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21688,2619.83646,355.08132,2264.75514,13.55,0.37992,0.0,pipeline_accumulator[1][56]$_DFFE_PP_,pipeline_accumulator[1][63]$_DFFE_PP_,pipeline_accumulator[1][56]$_DFFE_PP_ -> pipeline_accumulator[1][63]$_DFFE_PP_,yes,0.6200800000000001,1612.69,-0.09852,0.00582,0.000319,1.8e-07,0.00614,0.27,0.138,1.8e-06,0.408,0.0,0.0,0.0,0.0,0.276,0.139,1.97e-06,0.415,415.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,28,no,28,0,2,3,multi_operation,28,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21405,2599.58484,361.2924,2238.29244,13.9,0.39543,0.0,pipeline_accumulator[0][109]$_DFFE_PP_,pipeline_accumulator[0][113]$_DFFE_PP_,pipeline_accumulator[0][109]$_DFFE_PP_ -> pipeline_accumulator[0][113]$_DFFE_PP_,yes,0.60457,1654.07,-0.09852,0.0058,0.000322,1.83e-07,0.00612,0.253,0.132,1.78e-06,0.385,0.0,0.0,0.0,0.0,0.259,0.132,1.96e-06,0.391,391.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,29,no,29,0,2,3,multi_operation,29,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21531,2606.26248,367.50348,2238.759,14.1,0.37711,0.0,pipeline_accumulator[0][98]$_DFFE_PP_,pipeline_accumulator[0][104]$_DFFE_PP_,pipeline_accumulator[0][98]$_DFFE_PP_ -> pipeline_accumulator[0][104]$_DFFE_PP_,yes,0.6228899999999999,1605.42,-0.09852,0.0058,0.000318,1.86e-07,0.00612,0.222,0.107,1.78e-06,0.329,0.0,0.0,0.0,0.0,0.228,0.107,1.96e-06,0.335,335.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
rs_chien,RS Chien/Horner pipeline,64,30,no,30,0,2,3,multi_operation,30,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21411,2593.65078,373.71456,2219.93622,14.41,0.3955,0.0,pipeline_accumulator[0][74]$_DFFE_PP_,pipeline_accumulator[0][85]$_DFFE_PP_,pipeline_accumulator[0][74]$_DFFE_PP_ -> pipeline_accumulator[0][85]$_DFFE_PP_,yes,0.6045,1654.25,-0.09852,0.00575,0.000327,1.88e-07,0.00608,0.201,0.0967,1.78e-06,0.298,0.0,0.0,0.0,0.0,0.207,0.097,1.96e-06,0.304,304.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
