design,design_label,workload_operations,pipeline_stages,is_power_of_two,stages_with_work,pass_through_stages,min_operations_per_stage,max_operations_per_stage,pipeline_region,latency_cycles,throughput_items_per_cycle,target_mhz,target_period_ns,platform,synthesis_frontend,synthesis_hierarchical,abc_area,orfs_image,cell_count,area_um2,sequential_area_um2,combinational_area_um2,sequential_area_percent,setup_wns_ns,setup_tns_ns,setup_worst_startpoint,setup_worst_endpoint,setup_worst_path,target_met,minimum_period_ns,fmax_mhz,hold_slack_ns,sequential_power_internal_w,sequential_power_switching_w,sequential_power_leakage_w,sequential_power_total_w,combinational_power_internal_w,combinational_power_switching_w,combinational_power_leakage_w,combinational_power_total_w,clock_power_internal_w,clock_power_switching_w,clock_power_leakage_w,clock_power_total_w,power_internal_w,power_switching_w,power_leakage_w,power_total_w,vectorless_energy_per_item_pj_at_target,power_estimation,clock_tree_power_included,synthesis_problems,status,area_period_pareto,area_power_pareto,minimum_area_meeting_target,minimum_period_point,minimum_vectorless_power_point
arx,ARX pipeline,64,21,no,21,0,3,4,multi_operation,21,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21255,2528.65314,418.91256,2109.74058,16.57,-0.29594,-19.77838,pipeline_state[20][8]$_DFFE_PP_,pipeline_state[21][28]$_DFFE_PP_,pipeline_state[20][8]$_DFFE_PP_ -> pipeline_state[21][28]$_DFFE_PP_,no,1.29594,771.64,-0.10997,0.0173,0.000639,2.1e-07,0.0179,0.329,0.181,1.59e-06,0.511,0.0,0.0,0.0,0.0,0.347,0.182,1.8e-06,0.529,529.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,22,no,22,0,2,3,multi_operation,22,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,22528,2665.31148,437.95404,2227.35744,16.43,-0.06031,-2.09326,pipeline_state[0][324]$_DFFE_PP_,pipeline_state[0][415]$_DFFE_PP_,pipeline_state[0][324]$_DFFE_PP_ -> pipeline_state[0][415]$_DFFE_PP_,no,1.0603099999999999,943.12,-0.10997,0.0169,0.000676,2.2e-07,0.0176,0.314,0.178,1.66e-06,0.493,0.0,0.0,0.0,0.0,0.331,0.179,1.88e-06,0.51,510.0,vectorless_post_synthesis,no,0,success,yes,no,no,no,no
arx,ARX pipeline,64,23,no,23,0,2,3,multi_operation,23,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,22398,2665.57392,456.99552,2208.5784,17.14,-0.08137,-1.54646,pipeline_state[2][78]$_DFFE_PP_,pipeline_state[2][159]$_DFFE_PP_,pipeline_state[2][78]$_DFFE_PP_ -> pipeline_state[2][159]$_DFFE_PP_,no,1.08137,924.75,-0.10997,0.0163,0.000689,2.3e-07,0.017,0.293,0.163,1.64e-06,0.456,0.0,0.0,0.0,0.0,0.309,0.164,1.87e-06,0.473,473.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
arx,ARX pipeline,64,24,no,24,0,2,3,multi_operation,24,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21855,2620.78416,476.037,2144.74716,18.16,-0.08681,-4.18524,pipeline_state[20][11]$_DFFE_PP_,pipeline_state[21][31]$_DFFE_PP_,pipeline_state[20][11]$_DFFE_PP_ -> pipeline_state[21][31]$_DFFE_PP_,no,1.08681,920.12,-0.10997,0.0158,0.000698,2.39e-07,0.0165,0.272,0.149,1.61e-06,0.421,0.0,0.0,0.0,0.0,0.287,0.15,1.84e-06,0.437,437.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,25,no,25,0,2,3,multi_operation,25,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,21825,2630.26116,495.07848,2135.18268,18.82,-0.08314,-3.18572,pipeline_state[1][260]$_DFFE_PP_,pipeline_state[1][351]$_DFFE_PP_,pipeline_state[1][260]$_DFFE_PP_ -> pipeline_state[1][351]$_DFFE_PP_,no,1.08314,923.24,-0.10997,0.0151,0.000712,2.48e-07,0.0158,0.248,0.136,1.6e-06,0.384,0.0,0.0,0.0,0.0,0.263,0.137,1.85e-06,0.4,400.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,26,no,26,0,2,3,multi_operation,26,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,22507,2716.4727,514.11996,2202.35274,18.93,-0.10686,-2.13817,pipeline_state[1][333]$_DFFE_PP_,pipeline_state[1][415]$_DFFE_PP_,pipeline_state[1][333]$_DFFE_PP_ -> pipeline_state[1][415]$_DFFE_PP_,no,1.10686,903.46,-0.10997,0.0144,0.000723,2.58e-07,0.0151,0.229,0.127,1.64e-06,0.357,0.0,0.0,0.0,0.0,0.244,0.128,1.9e-06,0.372,372.0,vectorless_post_synthesis,no,0,success,no,yes,no,no,no
arx,ARX pipeline,64,27,no,27,0,2,3,multi_operation,27,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,22988,2762.41428,533.16144,2229.25284,19.3,-0.09527,-3.10897,pipeline_state[1][330]$_DFFE_PP_,pipeline_state[1][415]$_DFFE_PP_,pipeline_state[1][330]$_DFFE_PP_ -> pipeline_state[1][415]$_DFFE_PP_,no,1.09527,913.02,-0.10997,0.0136,0.000746,2.67e-07,0.0144,0.205,0.114,1.66e-06,0.319,0.0,0.0,0.0,0.0,0.218,0.115,1.93e-06,0.334,334.0,vectorless_post_synthesis,no,0,success,no,yes,no,no,no
arx,ARX pipeline,64,28,no,28,0,2,3,multi_operation,28,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,22849,2768.07132,552.20292,2215.8684,19.95,-0.05085,-0.8261,pipeline_state[0][659]$_DFFE_PP_,pipeline_state[0][735]$_DFFE_PP_,pipeline_state[0][659]$_DFFE_PP_ -> pipeline_state[0][735]$_DFFE_PP_,no,1.0508499999999998,951.61,-0.10997,0.013,0.000773,2.77e-07,0.0138,0.186,0.103,1.66e-06,0.29,0.0,0.0,0.0,0.0,0.199,0.104,1.93e-06,0.303,303.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,29,no,29,0,2,3,multi_operation,29,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,22902,2784.73626,571.2444,2213.49186,20.51,-0.02684,-0.36979,pipeline_state[12][19]$_DFFE_PP_,pipeline_state[12][92]$_DFFE_PP_,pipeline_state[12][19]$_DFFE_PP_ -> pipeline_state[12][92]$_DFFE_PP_,no,1.02684,973.86,-0.10997,0.0124,0.000781,2.86e-07,0.0132,0.165,0.0899,1.66e-06,0.254,0.0,0.0,0.0,0.0,0.177,0.0907,1.94e-06,0.268,268.0,vectorless_post_synthesis,no,0,success,yes,yes,no,no,no
arx,ARX pipeline,64,30,no,30,0,2,3,multi_operation,30,1,1000,1.0,asap7,slang,0,0,openroad/orfs@sha256:c1b25c7d0d74a5c3118843451a2803836ac776140bf29e87fb05a1f84d73aa02,24108,2912.55912,590.28588,2322.27324,20.27,-0.0049,-0.0049,pipeline_state[0][912]$_DFFE_PP_,pipeline_state[0][991]$_DFFE_PP_,pipeline_state[0][912]$_DFFE_PP_ -> pipeline_state[0][991]$_DFFE_PP_,no,1.0049,995.13,-0.10997,0.0116,0.000809,2.96e-07,0.0124,0.143,0.0814,1.72e-06,0.225,0.0,0.0,0.0,0.0,0.155,0.0823,2.02e-06,0.237,237.0,vectorless_post_synthesis,no,0,success,no,no,no,no,no
